Country,ISO-code,GDP per capita,Fert. Rate
Afghanistan,AFG,2182,4.6
Albania,ALB,14866,1.6
Algeria,DZA,16091,3.1
Angola,AGO,6763,5.6
Antigua and Barbuda,ATG,30593,2
Argentina,ARG,19971,2.3
Armenia,ARM,11845,1.8
Australia,AUS,54799,1.8
Austria,AUT,55171,1.5
Azerbaijan,AZE,19156,2.1
Bahrain,BHR,51991,2
Bangladesh,BGD,5453,2.1
Barbados,BRB,19364,1.6
Belarus,BLR,21224,1.7
Belgium,BEL,50904,1.7
Belize,BLZ,8791,2.3
Benin,BEN,3648,4.9
Bhutan,BTN,10627,2
Bolivia,BOL,8525,2.8
Bosnia and Herzegovina,BIH,14894,1.3
Botswana,BWA,19388,2.9
Brazil,BRA,17106,1.7
Brunei,BRN,85011,1.8
Bulgaria,BGR,26034,1.6
Burkina Faso,BFA,2181,5.2
Burundi,BDI,724,5.5
Cambodia,KHM,5004,2.5
Cameroon,CMR,4099,4.6
Canada,CAN,52144,1.5
Cape Verde,CPV,8716,2.3
Central African Republic,CAF,864,4.8
Chad,TCD,2603,5.8
Chile,CHL,27150,1.7
China,CHN,20984,1.7
Colombia,COL,16265,1.8
Comoros,COM,2898,4.2
Costa Rica,CRI,18651,1.8
Croatia,HRV,29207,1.4
Cuba,CUB,8822,1.6
Cyprus,CYP,42956,1.3
Czech Republic,CZE,40585,1.6
Democratic Republic of the Congo,COD,873,6
Denmark,DNK,55675,1.8
Djibouti,DJI,5855,2.8
Dominican Republic,DOM,20625,2.4
Ecuador,ECU,11866,2.4
Egypt,EGY,14800,3.3
El Salvador,SLV,8593,2.1
Equatorial Guinea,GNQ,19961,4.6
Eritrea,ERI,1103,4.1
Estonia,EST,37606,1.6
Eswatini,SWZ,11139,3
Ethiopia,ETH,2702,4.3
Fiji,FJI,12689,2.8
Finland,FIN,49548,1.5
France,FRA,48640,1.9
Gabon,GAB,19839,4
Georgia,GEO,13200,2.1
Germany,DEU,55306,1.6
Ghana,GHA,7343,3.9
Greece,GRC,31616,1.3
Grenada,GRD,17434,2.1
Guatemala,GTM,9009,2.9
Guinea,GIN,2574,4.7
Guinea,GIN,2113,4.5
Guyana,GUY,17163,2.5
Haiti,HTI,1916,3
Honduras,HND,5600,2.5
Hong Kong,HKG,66527,1.3
Hungary,HUN,35941,1.5
Iceland,ISL,56974,1.8
India,IND,9027,2.2
Indonesia,IDN,14841,2.3
Iran,IRN,17832,2.2
Iraq,IRQ,18755,3.7
Ireland,IRL,86988,1.8
Israel,ISR,40337,3
Italy,ITA,41582,1.3
Ivory Coast,CIV,4754,4.7
Jamaica,JAM,9932,2
Japan,JPN,46827,1.4
Jordan,JOR,9939,2.8
Kazakhstan,KAZ,30178,2.8
Kenya,KEN,4078,3.5
Kiribati,KIR,2193,3.6
Kuwait,KWT,67891,2.1
Kyrgyzstan,KGZ,4193,3
Laos,LAO,8684,2.7
Latvia,LVA,32987,1.7
Lebanon,LBN,15599,2.1
Lesotho,LSO,3655,3.2
Liberia,LBR,1428,4.4
Libya,LBY,9446,2.3
Lithuania,LTU,38751,1.7
Luxembourg,LUX,112045,1.5
Macau,MAC,113352,1.2
Madagascar,MDG,1776,4.1
Malawi,MWI,1292,4.3
Malaysia,MYS,34567,2
Maldives,MDV,24796,1.9
Mali,MLI,2569,5.9
Malta,MLT,49589,1.5
Mauritania,MRT,5158,4.6
Mauritius,MUS,26461,1.4
Mexico,MEX,21363,2.1
Micronesia,FSM,3657,3.1
Moldova,MDA,8161,1.3
Mongolia,MNG,15089,2.9
Montenegro,MNE,21977,1.8
Morocco,MAR,9667,2.4
Mozambique,MOZ,1372,4.9
Myanmar,MMR,7220,2.2
Namibia,NAM,11451,3.4
Nepal,NPL,3550,1.9
Netherlands,NLD,60299,1.7
New Zealand,NZL,42045,1.9
Nicaragua,NIC,5297,2.4
Niger,NER,1152,7
Nigeria,NGA,6172,5.4
North Macedonia,MKD,17378,1.5
Norway,NOR,79638,1.7
Oman,OMN,48593,2.9
Pakistan,PAK,6016,3.6
Panama,PAN,28456,2.5
Papua New Guinea,PNG,4081,3.6
Paraguay,PRY,13213,2.4
Peru,PER,15399,2.3
Philippines,PHL,10094,2.6
Poland,POL,35651,1.4
Portugal,PRT,34936,1.3
Puerto Rico,PRI,41198,1.2
Romania,ROU,29555,1.6
Russia,RUS,30820,1.8
Rwanda,RWA,2642,4.1
Saint Lucia,LCA,15159,1.4
Saint Vincent and the Grenadines,VCT,12983,1.9
Samoa,WSM,6493,3.9
Saudi Arabia,SAU,56912,2.3
Senegal,SEN,4079,4.7
Serbia,SRB,19767,1.5
Seychelles,SYC,33118,2.5
Sierra Leone,SLE,1765,4.3
Singapore,SGP,105689,1.2
Slovakia,SVK,38321,1.5
Slovenia,SVN,40344,1.6
Solomon Islands,SLB,2363,4.4
Somalia,SOM,314.5,6.1
South Africa,ZAF,13965,2.4
South Korea,KOR,46452,1.1
South Sudan,SSD,1715,4.7
Spain,ESP,43007,1.3
Sri Lanka,LKA,14509,2.2
Sudan,SDN,3986,4.4
Suriname,SUR,16044,2.4
Sweden,SWE,55989,1.9
Switzerland,CHE,67558,1.5
Taiwan,TWN,57214,1.2
Tajikistan,TJK,3751,3.6
Tanzania,TZA,3652,4.9
Thailand,THA,21361,1.5
Togo,TGO,1913,4.4
Tonga,TON,6867,3.6
Trinidad and Tobago,TTO,33713,1.7
Tunisia,TUN,13093,2.2
Turkey,TUR,29327,2.1
Turkmenistan,TKM,21855,2.8
Uganda,UGA,2753,5
Ukraine,UKR,10130,1.4
United Arab Emirates,ARE,70441,1.4
United Kingdom,GBR,48169,1.8
United States,USA,67426,1.8
Uruguay,URY,24516,2
Uzbekistan,UZB,9595,2.4
Vanuatu,VUT,3039,3.8
Venezuela,VEN,16055,2.3
Vietnam,VNM,8677,2.1
Yemen,YEM,2312,3.8
Zambia,ZMB,4174,4.7
Zimbabwe,ZWE,2778,3.6
