Country,ISO-code,GDP per capita,Migrants (net)
Afghanistan,AFG,2182,-62920
Albania,ALB,14866,-14000
Algeria,DZA,16091,-10000
Angola,AGO,6763,6413
Antigua and Barbuda,ATG,30593,0
Argentina,ARG,19971,4800
Armenia,ARM,11845,-4998
Australia,AUS,54799,158246
Austria,AUT,55171,65000
Azerbaijan,AZE,19156,1200
Bahrain,BHR,51991,47800
Bangladesh,BGD,5453,-369501
Barbados,BRB,19364,-79
Belarus,BLR,21224,8730
Belgium,BEL,50904,48000
Belize,BLZ,8791,1200
Benin,BEN,3648,-2000
Bhutan,BTN,10627,320
Bolivia,BOL,8525,-9504
Bosnia and Herzegovina,BIH,14894,-21585
Botswana,BWA,19388,3000
Brazil,BRA,17106,21200
Brunei,BRN,85011,0
Bulgaria,BGR,26034,-4800
Burkina Faso,BFA,2181,-25000
Burundi,BDI,724,2001
Cambodia,KHM,5004,-30000
Cameroon,CMR,4099,-4800
Canada,CAN,52144,242032
Cape Verde,CPV,8716,-1342
Central African Republic,CAF,864,-40000
Chad,TCD,2603,2000
Chile,CHL,27150,111708
China,CHN,20984,-348399
Colombia,COL,16265,204796
Comoros,COM,2898,-2000
Costa Rica,CRI,18651,4200
Croatia,HRV,29207,-8001
Cuba,CUB,8822,-14400
Cyprus,CYP,42956,5000
Czech Republic,CZE,40585,22011
Democratic Republic of the Congo,COD,873,23861
Denmark,DNK,55675,15200
Djibouti,DJI,5855,900
Dominican Republic,DOM,20625,-30000
Ecuador,ECU,11866,36400
Egypt,EGY,14800,-38033
El Salvador,SLV,8593,-40539
Equatorial Guinea,GNQ,19961,16000
Eritrea,ERI,1103,-39858
Estonia,EST,37606,3911
Eswatini,SWZ,11139,-8353
Ethiopia,ETH,2702,30000
Fiji,FJI,12689,-6202
Finland,FIN,49548,14000
France,FRA,48640,36527
Gabon,GAB,19839,3260
Georgia,GEO,13200,-10000
Germany,DEU,55306,543822
Ghana,GHA,7343,-10000
Greece,GRC,31616,-16000
Grenada,GRD,17434,-200
Guatemala,GTM,9009,-9215
Guinea,GIN,2574,-4000
Guinea,GIN,2113,-1399
Guyana,GUY,17163,-6000
Haiti,HTI,1916,-35000
Honduras,HND,5600,-6800
Hong Kong,HKG,66527,29308
Hungary,HUN,35941,6000
Iceland,ISL,56974,380
India,IND,9027,-532687
Indonesia,IDN,14841,-98955
Iran,IRN,17832,-55000
Iraq,IRQ,18755,7834
Ireland,IRL,86988,23604
Israel,ISR,40337,10000
Italy,ITA,41582,148943
Ivory Coast,CIV,4754,-8000
Jamaica,JAM,9932,-11332
Japan,JPN,46827,71560
Jordan,JOR,9939,10220
Kazakhstan,KAZ,30178,-18000
Kenya,KEN,4078,-10000
Kiribati,KIR,2193,-800
Kuwait,KWT,67891,39520
Kyrgyzstan,KGZ,4193,-4000
Laos,LAO,8684,-14704
Latvia,LVA,32987,-14837
Lebanon,LBN,15599,-30012
Lesotho,LSO,3655,-10047
Liberia,LBR,1428,-5000
Libya,LBY,9446,-1999
Lithuania,LTU,38751,-32780
Luxembourg,LUX,112045,9741
Macau,MAC,113352,5000
Madagascar,MDG,1776,-1500
Malawi,MWI,1292,-16053
Malaysia,MYS,34567,50000
Maldives,MDV,24796,11370
Mali,MLI,2569,-40000
Malta,MLT,49589,900
Mauritania,MRT,5158,5000
Mauritius,MUS,26461,0
Mexico,MEX,21363,-60000
Micronesia,FSM,3657,-600
Moldova,MDA,8161,-1387
Mongolia,MNG,15089,-852
Montenegro,MNE,21977,-480
Morocco,MAR,9667,-51419
Mozambique,MOZ,1372,-5000
Myanmar,MMR,7220,-163313
Namibia,NAM,11451,-4806
Nepal,NPL,3550,41710
Netherlands,NLD,60299,16000
New Zealand,NZL,42045,14881
Nicaragua,NIC,5297,-21272
Niger,NER,1152,4000
Nigeria,NGA,6172,-60000
North Macedonia,MKD,17378,-1000
Norway,NOR,79638,28000
Oman,OMN,48593,87400
Pakistan,PAK,6016,-233379
Panama,PAN,28456,11200
Papua New Guinea,PNG,4081,-800
Paraguay,PRY,13213,-16556
Peru,PER,15399,99069
Philippines,PHL,10094,-67152
Poland,POL,35651,-29395
Portugal,PRT,34936,-6000
Puerto Rico,PRI,41198,-97986
Romania,ROU,29555,-73999
Russia,RUS,30820,182456
Rwanda,RWA,2642,-9000
Saint Lucia,LCA,15159,0
Saint Vincent and the Grenadines,VCT,12983,-200
